[Name]
User Points

[Data]
"Time [s]","Monitor Point: CMZ1","Monitor Point: CMZ2","Monitor Point: CR1","Monitor Point: CR2","Monitor Point: CX1","Monitor Point: CX2","Monitor Point: CY1","Monitor Point: CY2"
2.16000004e+01,-2.27666590e-02,-3.83942202e-02,1.11449206e+00,1.50173604e+00,3.24520469e-01,-1.24252915e+00,1.06619835e+00,8.43405247e-01
2.16199989e+01,-2.19352432e-02,-3.62717435e-02,1.18375981e+00,1.51752245e+00,3.40982884e-01,-1.27769065e+00,1.13358629e+00,8.18768024e-01
2.16399994e+01,-2.11724639e-02,-3.42658386e-02,1.24905992e+00,1.53813946e+00,3.58789533e-01,-1.31894970e+00,1.19641995e+00,7.91356146e-01
2.16599998e+01,-2.05078293e-02,-3.23442668e-02,1.31026232e+00,1.56259477e+00,3.78523260e-01,-1.36336398e+00,1.25439525e+00,7.63505697e-01
2.16800003e+01,-1.96004435e-02,-3.14659029e-02,1.40325892e+00,1.59345543e+00,4.15428430e-01,-1.41775155e+00,1.34035623e+00,7.27379382e-01
2.16999989e+01,-1.93940140e-02,-2.99353711e-02,1.43503320e+00,1.61569047e+00,4.28870082e-01,-1.45113480e+00,1.36944902e+00,7.10396647e-01
2.17199993e+01,-1.92931276e-02,-2.82561239e-02,1.46782589e+00,1.63631129e+00,4.44325000e-01,-1.47975481e+00,1.39895964e+00,6.98455572e-01
2.17399998e+01,-1.93168260e-02,-2.64810976e-02,1.50118721e+00,1.65285230e+00,4.60744083e-01,-1.50116599e+00,1.42873299e+00,6.91680133e-01
2.17600002e+01,-1.94875114e-02,-2.46233344e-02,1.53398740e+00,1.66357374e+00,4.76627767e-01,-1.51394248e+00,1.45806146e+00,6.89533055e-01
2.17799988e+01,-1.98510028e-02,-2.25749388e-02,1.56416976e+00,1.66794682e+00,4.89915133e-01,-1.51804161e+00,1.48546624e+00,6.91083372e-01
2.17999992e+01,-2.03982554e-02,-2.02141441e-02,1.58875334e+00,1.66633368e+00,4.98238236e-01,-1.51436818e+00,1.50860727e+00,6.95238709e-01
2.18199997e+01,-2.10894905e-02,-1.64164733e-02,1.61228490e+00,1.65978193e+00,5.04001677e-01,-1.50299919e+00,1.53148460e+00,7.04180181e-01
2.18400002e+01,-2.19089147e-02,-1.31391417e-02,1.61818027e+00,1.65142739e+00,4.95462596e-01,-1.49178755e+00,1.54046237e+00,7.08366036e-01
