[Name]
User Points

[Data]
"Time [s]","Monitor Point: cm","Monitor Point: cx","Monitor Point: cy"
2.72000008e+01,3.56857255e-02,1.60941148e+00,-6.70370877e-01
2.73999996e+01,3.56808342e-02,1.61361217e+00,-6.81056142e-01
2.76000004e+01,3.55272181e-02,1.61772120e+00,-6.89996839e-01
2.78000011e+01,3.52334678e-02,1.62178516e+00,-6.97010219e-01
2.80000000e+01,3.48217674e-02,1.62577605e+00,-7.01964259e-01
2.82000008e+01,3.43014784e-02,1.62966633e+00,-7.04839587e-01
2.83999996e+01,3.36780883e-02,1.63351154e+00,-7.05547810e-01
2.86000004e+01,3.29625309e-02,1.63732624e+00,-7.04009712e-01
2.88000011e+01,3.21644656e-02,1.64113486e+00,-7.00167716e-01
2.90000000e+01,3.12863849e-02,1.64496064e+00,-6.93962753e-01
2.92000008e+01,3.03358212e-02,1.64883482e+00,-6.85341060e-01
2.93999996e+01,2.93279793e-02,1.65264332e+00,-6.74243093e-01
2.96000004e+01,2.82629617e-02,1.65626311e+00,-6.60635650e-01
2.98000011e+01,2.71437000e-02,1.65958440e+00,-6.44520640e-01
3.00000000e+01,2.59838011e-02,1.66241431e+00,-6.25896931e-01
3.02000008e+01,2.47987341e-02,1.66460824e+00,-6.04731083e-01
3.03999996e+01,2.35995222e-02,1.66605651e+00,-5.80969930e-01
3.06000004e+01,2.23890003e-02,1.66674221e+00,-5.54580927e-01
3.08000011e+01,2.11646184e-02,1.66663742e+00,-5.25575340e-01
3.10000000e+01,1.99342091e-02,1.66572213e+00,-4.94055480e-01
3.12000008e+01,1.87006872e-02,1.66401231e+00,-4.60073978e-01
3.13999996e+01,1.74619108e-02,1.66155207e+00,-4.23648417e-01
3.16000004e+01,1.62137281e-02,1.65843511e+00,-3.84776652e-01
3.18000011e+01,1.49476510e-02,1.65475953e+00,-3.43543828e-01
3.20000000e+01,1.36493063e-02,1.65062809e+00,-3.00086796e-01
3.22000008e+01,1.22974599e-02,1.64615977e+00,-2.54531741e-01
3.24000015e+01,1.08843194e-02,1.64146328e+00,-2.06972152e-01
3.26000023e+01,9.39738750e-03,1.63660216e+00,-1.57512397e-01
3.27999992e+01,7.80624663e-03,1.63169551e+00,-1.06323548e-01
3.30000000e+01,6.08870527e-03,1.62681305e+00,-5.35789430e-02
